"","total","spread","parent_id","curated","rank"
"ASV246",122,1,"ASV38","merged",246
"ASV247",120,1,"ASV19","merged",247
"ASV248",119,1,"ASV248","parent",248
"ASV249",118,1,"ASV249","parent",249
"ASV250",117,1,"ASV9","merged",250
"ASV251",115,1,"ASV2","merged",251
"ASV252",115,1,"ASV252","parent",252
"ASV253",115,1,"ASV253","parent",253
"ASV254",114,1,"ASV254","parent",254
"ASV255",114,1,"ASV255","parent",255
"ASV256",114,1,"ASV10","merged",256
"ASV257",114,1,"ASV257","parent",257
"ASV258",112,1,"ASV258","parent",258
"ASV259",112,1,"ASV259","parent",259
"ASV261",111,1,"ASV248","merged",261
"ASV262",110,1,"ASV262","parent",262
"ASV263",109,1,"ASV263","parent",263
"ASV264",109,1,"ASV7","merged",264
"ASV265",108,1,"ASV265","parent",265
"ASV266",108,1,"ASV266","parent",266
"ASV267",107,1,"ASV2","merged",267
"ASV268",107,1,"ASV268","parent",268
"ASV269",106,1,"ASV26","merged",269
"ASV270",106,1,"ASV270","parent",270
"ASV271",106,1,"ASV7","merged",271
"ASV272",104,1,"ASV35","merged",272
"ASV273",104,1,"ASV32","merged",273
"ASV274",100,1,"ASV274","parent",274
"ASV275",100,1,"ASV275","parent",275
"ASV276",99,1,"ASV276","parent",276
"ASV277",99,1,"ASV277","parent",277
"ASV278",99,1,"ASV1","merged",278
"ASV279",97,1,"ASV279","parent",279
"ASV280",96,1,"ASV280","parent",280
"ASV281",96,1,"ASV281","parent",281
"ASV282",95,1,"ASV4","merged",282
"ASV283",92,1,"ASV22","merged",283
"ASV284",92,1,"ASV10","merged",284
"ASV285",91,1,"ASV12","merged",285
"ASV286",90,1,"ASV286","parent",286
"ASV287",90,1,"ASV287","parent",287
"ASV288",90,1,"ASV1","merged",288
"ASV289",88,1,"ASV31","merged",289
"ASV290",88,1,"ASV2","merged",290
"ASV291",87,1,"ASV291","parent",291
"ASV292",87,1,"ASV292","parent",292
"ASV293",87,1,"ASV293","parent",293
"ASV294",86,1,"ASV294","parent",294
"ASV295",86,1,"ASV295","parent",295
"ASV296",85,1,"ASV296","parent",296
"ASV297",84,1,"ASV297","parent",297
"ASV298",84,1,"ASV287","merged",298
"ASV299",83,1,"ASV7","merged",299
"ASV300",82,1,"ASV300","parent",300
"ASV301",82,1,"ASV4","merged",301
"ASV302",80,1,"ASV13","merged",302
"ASV303",78,1,"ASV303","parent",303
"ASV304",77,1,"ASV304","parent",304
"ASV305",77,1,"ASV305","parent",305
"ASV306",76,1,"ASV306","parent",306
"ASV307",75,1,"ASV10","merged",307
"ASV308",75,1,"ASV308","parent",308
"ASV309",74,1,"ASV4","merged",309
"ASV310",73,1,"ASV310","parent",310
"ASV311",72,1,"ASV311","parent",311
"ASV312",72,1,"ASV312","parent",312
"ASV313",72,1,"ASV9","merged",313
"ASV314",71,1,"ASV314","parent",314
"ASV315",71,1,"ASV315","parent",315
"ASV317",70,1,"ASV35","merged",317
"ASV318",69,1,"ASV79","merged",318
"ASV319",69,1,"ASV319","parent",319
"ASV320",68,1,"ASV320","parent",321
"ASV322",67,1,"ASV322","parent",322
"ASV323",67,1,"ASV323","parent",323
"ASV324",67,1,"ASV324","parent",324
"ASV325",67,1,"ASV325","parent",325
"ASV326",67,1,"ASV326","parent",326
"ASV327",66,1,"ASV327","parent",327
"ASV328",66,1,"ASV328","parent",328
"ASV329",66,1,"ASV329","parent",329
"ASV330",66,1,"ASV330","parent",330
"ASV331",66,1,"ASV331","parent",331
"ASV332",66,1,"ASV124","merged",332
"ASV333",65,1,"ASV333","parent",333
"ASV334",65,1,"ASV334","parent",334
"ASV335",64,1,"ASV335","parent",335
"ASV336",64,1,"ASV31","merged",336
"ASV337",64,1,"ASV82","merged",337
"ASV338",64,1,"ASV10","merged",338
"ASV339",63,1,"ASV339","parent",339
"ASV340",63,1,"ASV340","parent",340
"ASV341",62,1,"ASV341","parent",341
"ASV342",62,1,"ASV342","parent",342
"ASV343",62,1,"ASV343","parent",343
"ASV344",62,1,"ASV35","merged",344
"ASV345",62,1,"ASV345","parent",345
"ASV346",60,1,"ASV2","merged",346
"ASV347",59,1,"ASV291","merged",347
"ASV348",59,1,"ASV348","parent",348
"ASV349",59,1,"ASV349","parent",349
"ASV350",58,1,"ASV350","parent",350
"ASV351",58,1,"ASV351","parent",351
"ASV352",58,1,"ASV352","parent",352
"ASV353",58,1,"ASV353","parent",353
"ASV354",57,1,"ASV354","parent",354
"ASV355",57,1,"ASV355","parent",355
"ASV356",57,1,"ASV356","parent",356
"ASV357",57,1,"ASV357","parent",357
"ASV358",57,1,"ASV9","merged",358
"ASV359",56,1,"ASV359","parent",359
"ASV360",56,1,"ASV360","parent",360
"ASV361",55,1,"ASV361","parent",361
"ASV362",55,1,"ASV362","parent",362
"ASV363",55,1,"ASV363","parent",363
"ASV364",55,1,"ASV2","merged",364
"ASV365",54,1,"ASV365","parent",365
"ASV366",54,1,"ASV366","parent",366
"ASV367",54,1,"ASV367","parent",367
"ASV368",53,1,"ASV368","parent",368
"ASV369",53,1,"ASV369","parent",369
"ASV370",52,1,"ASV370","parent",370
"ASV371",52,1,"ASV371","parent",371
"ASV372",52,1,"ASV52","merged",372
"ASV373",52,1,"ASV122","merged",373
"ASV374",51,1,"ASV63","merged",374
"ASV375",50,1,"ASV375","parent",375
"ASV376",49,1,"ASV376","parent",376
"ASV377",49,1,"ASV377","parent",377
"ASV378",49,1,"ASV378","parent",378
"ASV379",49,1,"ASV379","parent",379
"ASV380",49,1,"ASV380","parent",380
"ASV381",49,1,"ASV35","merged",381
"ASV382",48,1,"ASV382","parent",382
"ASV383",48,1,"ASV383","parent",383
"ASV384",48,1,"ASV384","parent",384
"ASV385",48,1,"ASV385","parent",385
"ASV386",48,1,"ASV386","parent",386
"ASV387",48,1,"ASV387","parent",387
"ASV388",48,1,"ASV2","merged",388
"ASV389",48,1,"ASV369","merged",389
"ASV390",47,1,"ASV390","parent",391
"ASV391",47,1,"ASV391","parent",392
"ASV393",47,1,"ASV393","parent",393
"ASV394",47,1,"ASV394","parent",394
"ASV395",46,1,"ASV395","parent",395
"ASV396",46,1,"ASV396","parent",396
"ASV397",45,1,"ASV397","parent",397
"ASV398",45,1,"ASV398","parent",398
"ASV399",45,1,"ASV399","parent",399
"ASV400",45,1,"ASV400","parent",400
"ASV401",44,1,"ASV401","parent",401
"ASV402",44,1,"ASV402","parent",402
